Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFT,Total Implicit and Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit",Percent of GDP,0.724529382926886,0.941101289208801,1.48259151005037,2.15442815302672,2.40867915839903,1.79832161196751,2.2768486651692,3.01175635661123,2.73351102596733,2.74215675107025,2.83940883461292,2.94781641542534,3.08601226459789,3.21627973049969,3.33743926819241,3.46554370434828
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFT,Total Implicit and Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit",USD at constant 2021 prices,171866163.9,228797564.4,376835079.7,556354774.0,638516758.1,433970971.4,618323792.0,845731302.5,794768330.8,826294093.8,887599201.7,957804509.7,1042208062.0,1128978511.0,1217664717.0,1314238139.0
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTN,Total Implicit and Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Natural Gas",Percent of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.247691739505109e-18,0.0,5.4697738020625595e-18,0.0,0.0
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTN,Total Implicit and Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Natural Gas",USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03e-09,0.0,1.92e-09,0.0,0.0
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTC,Total Implicit and Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Coal",Percent of GDP,0.0,0.0,0.0,0.0,1.09256478931684e-06,1.22798773412896e-06,1.11543984976249e-06,1.09305936398276e-06,1.06473258813414e-06,1.05296518766801e-06,1.03938579654511e-06,2.06204604210267e-16,1.00781120454815e-06,2.01128140846675e-16,9.75905166506784e-07,9.59692007488859e-07
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTC,Total Implicit and Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Coal",USD at constant 2021 prices,0.0,0.0,0.0,0.0,289.628,296.338,302.92,306.942,309.571,317.29,324.912,6.7e-08,340.358,7.06e-08,356.059,363.944
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTT,Total Implicit and Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Electricity",Percent of GDP,0.369497368373357,0.680245833936754,0.994930862008238,1.22930285585595,1.0057053887359,1.04680707815349,1.02895981735832,1.01257007905701,1.0127130988822,1.01169468522882,1.00648888003839,1.00988450880217,1.01752937670259,1.01579982593584,1.00879905906537,1.00741504548691
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTT,Total Implicit and Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Electricity",USD at constant 2021 prices,87648750.72,165379212.4,252884795.4,317452457.9,266602441.5,252615484.1,279434617.6,284339803.9,294446333.5,304853959.5,314628423.9,328131674.6,343640021.1,356566054.9,368060336.7,382042007.7
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTP,Total Implicit and Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Petroleum",Percent of GDP,0.255946252179608,0.176804054970897,0.394912510587376,0.825719111180357,1.40297267720397,0.751513305983756,1.24788773207644,1.99918518464442,1.72079686225279,1.73046101284306,1.83291891522713,1.93793190662317,2.06848188084804,2.20047990456384,2.32863923201316,2.45812769849432
Honduras,HN,HND,Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTP,Total Implicit and Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Petroleum",USD at constant 2021 prices,60713204.41,42984041.8,100376190.2,213231881.9,371914027.0,181355191.0,338888871.4,561391191.7,500321687.7,521439817.0,572970452.9,629672835.1,698567700.8,772412456.1,849604023.8,932195767.1
